mean_p3a,mean_n2,mean_p3b
2.55466234321521,-1.1400605331789,13.5022411749262
3.46350106554741,-3.81530849587646,-1.36082334288731
-1.68263581774845,-1.03578447006989,4.26612507135611
0.696339791173029,2.42727692490448,4.02891442643239
-1.58388052392698,4.04088218792017,5.16388933488663
-1.70293304433863,7.14010103858576,7.87991146669281
4.52413429984794,-2.29087216942581,5.72649059391548
0.188014022509707,9.22803407712282,11.4283984031706
-1.80662639835001,-2.23154515794736,7.17601752773942
0.42084005819113,-9.25286460253687,16.2233921166859
5.85810946065785,-0.984561984646544,16.0373208320271
7.52508417268235,-7.06442280453989,1.3534073816785
3.90420478156132,-0.824971247248794,8.22544459690519
1.33960922054742,-0.235487284668824,9.70108140253868
3.89694592464018,0.238642391385608,13.5593931157272
0.29134456911877,-3.07468024444841,-0.619603323887001
7.17596150996442,0.355551628021647,17.553540732619
1.26427050268158,-4.25940584810412,7.93993380593927
