"","Train_acc_cor","ID","Cond"
"1",94.6210526315789,1002,"ET"
"2",87.0885714285714,1003,"ET"
"3",79.55,1004,"ET"
"4",91.9702702702703,1005,"TS"
"5",99.64,1007,"TS"
"6",99.51,1008,"TS"
"7",94.4842105263158,1012,"ET"
"8",99.51,1013,"TS"
"9",99.51,1015,"TS"
"10",91.9702702702703,1016,"ET"
"11",99.64,1018,"ET"
"12",99.36,1020,"TS"
"13",99.36,1021,"TS"
"14",96.9974358974359,1022,"TS"
"15",97.1307692307692,1025,"ET"
"16",79.3875,1027,"ET"
"17",96.9974358974359,1029,"ET"
"18",99.64,1030,"TS"
